Geography,Geographic Area Name,Total
0500000US06001,"Alameda County, California",1635239
0500000US06003,"Alpine County, California",1159
0500000US06005,"Amador County, California",35417
0500000US06007,"Butte County, California",217748
0500000US06009,"Calaveras County, California",45417
0500000US06011,"Colusa County, California",21302
0500000US06013,"Contra Costa County, California",1138316
0500000US06015,"Del Norte County, California",24665
0500000US06017,"El Dorado County, California",188636
0500000US06019,"Fresno County, California",973165
0500000US06021,"Glenn County, California",27729
0500000US06023,"Humboldt County, California",132842
0500000US06025,"Imperial County, California",170465
0500000US06027,"Inyo County, California",17536
0500000US06029,"Kern County, California",861063
0500000US06031,"Kings County, California",136804
0500000US06033,"Lake County, California",63025
0500000US06035,"Lassen County, California",20844
0500000US06037,"Los Angeles County, California",9884138
0500000US06039,"Madera County, California",147405
0500000US06041,"Marin County, California",253813
0500000US06043,"Mariposa County, California",17112
0500000US06045,"Mendocino County, California",85619
0500000US06047,"Merced County, California",267287
0500000US06049,"Modoc County, California",8593
0500000US06051,"Mono County, California",14249
0500000US06053,"Monterey County, California",415908
0500000US06055,"Napa County, California",135270
0500000US06057,"Nevada County, California",98270
0500000US06059,"Orange County, California",3133095
0500000US06061,"Placer County, California",388552
0500000US06063,"Plumas County, California",18499
0500000US06065,"Riverside County, California",2398354
0500000US06067,"Sacramento County, California",1517215
0500000US06069,"San Benito County, California",61067
0500000US06071,"San Bernardino County, California",2107058
0500000US06073,"San Diego County, California",3239995
0500000US06075,"San Francisco County, California",861021
0500000US06077,"San Joaquin County, California",734604
0500000US06079,"San Luis Obispo County, California",266514
0500000US06081,"San Mateo County, California",759302
0500000US06083,"Santa Barbara County, California",424566
0500000US06085,"Santa Clara County, California",1893555
0500000US06087,"Santa Cruz County, California",261221
0500000US06089,"Shasta County, California",176072
0500000US06091,"Sierra County, California",2870
0500000US06093,"Siskiyou County, California",43099
0500000US06095,"Solano County, California",433655
0500000US06097,"Sonoma County, California",489796
0500000US06099,"Stanislaus County, California",541777
0500000US06101,"Sutter County, California",95087
0500000US06103,"Tehama County, California",63353
0500000US06105,"Trinity County, California",12327
0500000US06107,"Tulare County, California",457738
0500000US06109,"Tuolumne County, California",50647
0500000US06111,"Ventura County, California",833203
0500000US06113,"Yolo County, California",210825
0500000US06115,"Yuba County, California",75779
0500000US08001,"Adams County, Colorado",504760
0500000US08003,"Alamosa County, Colorado",15139
0500000US08005,"Arapahoe County, Colorado",643436
0500000US08007,"Archuleta County, Colorado",13483
0500000US08009,"Baca County, Colorado",3449
0500000US08011,"Bent County, Colorado",3990
